Points	Generation	Lmax	Lfrontier	Lseed	Ltotal	travel	TotalAlgo
1000	1.99857	0.473176	0.127131	0.170333	0.77064	0.247949	1.018589
2000	7.90588	1.92308	0.522279	0.703625	3.148984	1.00933	4.158314
3000	12.1548	3.0688	0.859015	1.10919	5.037005	1.51217	6.549175
4000	17.6916	3.92627	1.24737	1.46232	6.63596	2.06734	8.7033
5000	19.5667	4.93695	1.49789	1.77625	8.21109	2.50263	10.71372
6000	24.1592	5.9037	1.73528	2.09504	9.73402	2.96119	12.69521
7000	28.1278	7.16564	2.34473	2.92892	12.43929	4.1663	16.60559
8000	31.6519	8.06518	2.71928	3.43037	14.21483	5.42361	19.63844
9000	35.943	9.24064	3.15607	3.78421	16.18092	5.80767	21.98859
10000	39.4858	10.2035	3.48007	4.32703	18.0106	6.0001	24.0107

